# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄨㄟˊㄨㄣˇ	維穩
ㄨㄟˊㄨㄤˇ	圍網
ㄨㄟˊㄩㄝˉ	違約
ㄨㄟˋㄅㄠˋ	未報 衛報
ㄨㄟˋㄅㄧˋ	未必
ㄨㄟˋㄅㄨˇ	未卜 餵哺
ㄨㄟˋㄇㄚˇ	魏瑪
ㄨㄟˋㄇㄠˊ	為毛
ㄨㄟˋㄉㄞˋ	胃袋
ㄨㄟˋㄉㄠˋ	衛道
ㄨㄟˋㄉㄠ˙	味道
ㄨㄟˋㄉㄨˉ	魏都
ㄨㄟˋㄊㄥˊ	胃疼
ㄨㄟˋㄊㄨˊ	畏途 位圖
ㄨㄟˋㄋㄞˇ	餵奶
ㄨㄟˋㄋㄢˊ	畏難 渭南
ㄨㄟˋㄋㄤˊ	胃囊
ㄨㄟˋㄋㄥˊ	未能
ㄨㄟˋㄌㄜ˙	為了
ㄨㄟˋㄌㄞˊ	未來
ㄨㄟˋㄌㄟˇ	味蕾
ㄨㄟˋㄌㄠˊ	慰勞
ㄨㄟˋㄌㄢˊ	蔚藍
ㄨㄟˋㄎㄜˇ	未可
ㄨㄟˋㄎㄡˇ	胃口
ㄨㄟˋㄎㄨˋ	衛褲
ㄨㄟˋㄏㄜˊ	為何 渭河
ㄨㄟˋㄏㄢˊ	胃寒
ㄨㄟˋㄏㄨˋ	衛護
ㄨㄟˋㄐㄧˇ	未幾
ㄨㄟˋㄐㄧˊ	未及
ㄨㄟˋㄐㄧˋ	畏忌
ㄨㄟˋㄐㄩˉ	位居
ㄨㄟˋㄐㄩˋ	畏懼
ㄨㄟˋㄑㄧˇ	蔚起
ㄨㄟˋㄓㄜ˙	為著
ㄨㄟˋㄓㄥˉ	魏徵
ㄨㄟˋㄔㄤˊ	未嘗
ㄨㄟˋㄔㄥˊ	未成 蔚成 渭城 衛城
ㄨㄟˋㄕㄚˊ	為啥
ㄨㄟˋㄕㄡˉ	魏收
ㄨㄟˋㄕㄥˉ	衛生
ㄨㄟˋㄕㄨˉ	魏書
ㄨㄟˋㄕㄨˊ	未熟
ㄨㄟˋㄖㄢˊ	未然
ㄨㄟˋㄖㄣˊ	為人
ㄨㄟˋㄘㄥˉ	味噌
ㄨㄟˋㄘㄥˊ	未曾
ㄨㄟˋㄙㄨˋ	味素
ㄨㄟˋㄧㄝˋ	胃液
ㄨㄟˋㄧㄡˇ	未有 畏友
ㄨㄟˋㄧㄢˊ	胃炎
ㄨㄟˋㄧㄢˋ	慰唁
ㄨㄟˋㄧㄤˇ	餵養
ㄨㄟˋㄧㄤˉ	未央
ㄨㄟˋㄧㄤˊ	未羊
ㄨㄟˋㄨㄟˉ	魏巍
ㄨㄟˋㄨㄟˊ	蔚為
ㄨㄟˋㄨㄟˋ	衛尉
ㄨㄟˋㄨㄣˋ	慰問
ㄨㄟˋㄩㄢˊ	位元 渭源 魏源
ㄨㄟㄅㄛㄌㄨ	微波爐
ㄨㄟㄅㄛㄎㄜ	微博客
ㄨㄟㄅㄛㄧㄤ	魏伯陽
ㄨㄟㄇㄨㄖㄨ	餵母乳
ㄨㄟㄈㄥㄧㄩ	威鳳一羽
ㄨㄟㄉㄜㄇㄞ	魏德邁
ㄨㄟㄉㄞㄇㄚ	偽代碼
ㄨㄟㄉㄧㄢㄗ	微電子
ㄨㄟㄉㄨㄑㄩ	魏都區
ㄨㄟㄌㄚㄍㄤ	維拉港
ㄨㄟㄌㄞㄆㄞ	未來派
ㄨㄟㄌㄧㄊㄧ	微粒體
ㄨㄟㄌㄧㄠㄗ	尉繚子
ㄨㄟㄌㄩㄍㄨ	尾閭骨
ㄨㄟㄍㄜㄋㄚ	韋格納 魏格納
ㄨㄟㄎㄜㄉㄠ	威克島
ㄨㄟㄏㄞㄨㄟ	威海衛
ㄨㄟㄏㄨㄟㄕ	衛輝市
ㄨㄟㄐㄧㄈㄣ	微積分
ㄨㄟㄐㄧㄍㄢ	危機感
ㄨㄟㄐㄧㄐㄧ	威基基
ㄨㄟㄐㄧㄖㄣ	為己任
ㄨㄟㄐㄩㄣㄗ	偽君子
ㄨㄟㄒㄧㄠㄠ	胃小凹
ㄨㄟㄓㄕㄨㄖ	未知數兒
ㄨㄟㄓㄤㄓㄜ	違章者
ㄨㄟㄓㄧㄓㄣ	為之一振
ㄨㄟㄓㄨㄥㄗ	微中子
ㄨㄟㄔㄢㄑㄧ	圍產期
ㄨㄟㄔㄤㄉㄠ	胃腸道
ㄨㄟㄔㄥㄑㄩ	渭城區 濰城區
ㄨㄟㄕㄒㄧㄢ	尉氏縣
ㄨㄟㄕㄗㄨㄥ	唯識宗
ㄨㄟㄕㄢㄓㄜ	偽善者
ㄨㄟㄕㄣㄇㄜ	為什麼
ㄨㄟㄕㄥㄅㄨ	衛生部
ㄨㄟㄕㄥㄊㄠ	衛生套
ㄨㄟㄕㄥㄎㄨ	衛生褲
ㄨㄟㄕㄥㄏㄨ	衛生鬍
ㄨㄟㄕㄥㄐㄩ	衛生局
ㄨㄟㄕㄥㄕㄨ	衛生署
ㄨㄟㄕㄥㄙㄨ	維生素
ㄨㄟㄕㄥㄨㄢ	衛生丸
ㄨㄟㄕㄧㄨㄢ	為時已晚
ㄨㄟㄕㄨㄑㄧ	圍術期
ㄨㄟㄖㄠㄉㄠ	胃繞道
ㄨㄟㄖㄣㄕㄨ	委任書
ㄨㄟㄗㄠㄓㄜ	偽造者
ㄨㄟㄘㄥㄊㄤ	味噌湯
ㄨㄟㄣㄈㄨㄧ	違恩負義
ㄨㄟㄦㄅㄨㄔ	危而不持
ㄨㄟㄦㄒㄩㄣ	威爾遜
ㄨㄟㄦㄖㄨㄥ	維爾容
ㄨㄟㄧㄒㄧㄣ	衛奕信
ㄨㄟㄧㄒㄧㄥ	唯一性
ㄨㄟㄧㄝㄋㄚ	維也納
ㄨㄟㄧㄤㄑㄩ	未央區
ㄨㄟㄨㄌㄨㄣ	唯物論
ㄨㄟㄨㄓㄨㄧ	唯物主義
ㄨㄟㄨㄚㄉㄧ	韋瓦第
ㄨㄟㄨㄣㄉㄧ	魏文帝
ㄨㄟㄨㄤㄖㄣ	未亡人
ㄨㄟㄨㄦㄖㄣ	維吾爾人
ㄨㄟㄨㄦㄗㄨ	維吾爾族
ㄨㄟㄩㄌㄨㄥ	尾羽龍
ㄨㄟㄩㄢㄅㄧ	位元幣
ㄨㄟㄩㄢㄓㄤ	委員長
ㄨㄟㄩㄢㄗㄨ	位元組
ㄨㄢˇㄅㄟˋ	晚輩
ㄨㄢˇㄅㄠˋ	晚報
ㄨㄢˇㄅㄢˉ	晚班
ㄨㄢˇㄈㄢˋ	晚飯
ㄨㄢˇㄉㄠˇ	晚禱
ㄨㄢˇㄌㄧˋ	挽力
ㄨㄢˇㄍㄜˉ	挽歌
ㄨㄢˇㄐㄩˋ	婉拒 挽具
ㄨㄢˇㄑㄧˉ	晚期
ㄨㄢˇㄒㄧˉ	惋惜
ㄨㄢˇㄓㄤˋ	挽幛
ㄨㄢˇㄔㄜˉ	晚車
ㄨㄢˇㄔㄤˇ	晚場
ㄨㄢˇㄔㄥˉ	婉稱
ㄨㄢˇㄔㄥˊ	宛城
ㄨㄢˇㄕㄤˇ	晚晌
ㄨㄢˇㄕㄤ˙	晚上
ㄨㄢˇㄕㄥˉ	晚生
ㄨㄢˇㄕㄨˊ	晚熟
ㄨㄢˇㄖㄢˊ	宛然
ㄨㄢˇㄖㄨˊ	宛如 婉如
ㄨㄢˇㄘㄢˉ	晚餐
ㄨㄢˇㄧㄢˊ	婉言
ㄨㄢˇㄧㄢˋ	晚宴
ㄨㄢˇㄩㄝˉ	婉約
ㄨㄢˉㄉㄠˋ	彎道
ㄨㄢˉㄉㄡˋ	豌豆
ㄨㄢˉㄋㄢˊ	彎男
ㄨㄢˉㄌㄨˋ	彎路
ㄨㄢˉㄑㄩˉ	彎曲
ㄨㄢˉㄓㄜˊ	彎折
ㄨㄢˉㄗㄞˇ	灣仔
ㄨㄢˉㄧㄠˉ	彎腰
ㄨㄢˉㄧㄢˊ	蜿蜒
ㄨㄢˉㄨㄢˉ	彎彎
ㄨㄢˉㄩㄝˋ	彎月
ㄨㄢˊㄅㄞˋ	完敗
ㄨㄢˊㄅㄟˋ	完備
ㄨㄢˊㄅㄠˋ	完爆
ㄨㄢˊㄅㄢˋ	玩伴
ㄨㄢˊㄅㄧˋ	完畢 完璧
ㄨㄢˊㄆㄞˊ	玩牌
ㄨㄢˊㄆㄧˊ	頑皮
ㄨㄢˊㄇㄟˇ	完美
ㄨㄢˊㄇㄢˇ	完滿
ㄨㄢˊㄈㄚˇ	玩法
ㄨㄢˊㄈㄟˇ	頑匪
ㄨㄢˊㄈㄥˉ	完封
ㄨㄢˊㄉㄢˋ	完蛋
ㄨㄢˊㄌㄜˋ	玩樂
ㄨㄢˊㄌㄜ˙	完了
ㄨㄢˊㄍㄥˇ	頑梗
ㄨㄢˊㄍㄨˋ	頑固
ㄨㄢˊㄎㄚˉ	玩咖
ㄨㄢˊㄏㄠˇ	完好
ㄨㄢˊㄏㄨˉ	玩忽
ㄨㄢˊㄐㄧˉ	烷基
ㄨㄢˊㄐㄧˊ	頑疾
ㄨㄢˊㄐㄧˋ	丸劑
ㄨㄢˊㄐㄩˋ	玩具
ㄨㄢˊㄑㄧˋ	玩器
ㄨㄢˊㄓㄜˇ	玩者
ㄨㄢˊㄓㄥˇ	完整
ㄨㄢˊㄓㄥˋ	頑症
ㄨㄢˊㄔㄥˊ	完成
ㄨㄢˊㄕㄢˉ	丸山
ㄨㄢˊㄕㄢˋ	完善 紈扇
ㄨㄢˊㄕㄤˇ	玩賞
ㄨㄢˊㄕㄥˋ	完勝
ㄨㄢˊㄕㄨˊ	完熟
ㄨㄢˊㄖㄣˊ	完人
ㄨㄢˊㄙㄞˋ	完賽
ㄨㄢˊㄧㄢˊ	完顏
ㄨㄢˊㄨㄟˋ	玩味
ㄨㄢˊㄨㄢˊ	玩完
ㄨㄢˋㄅㄢˉ	萬般
ㄨㄢˋㄅㄤˉ	萬邦
ㄨㄢˋㄈㄣˉ	萬分
ㄨㄢˋㄉㄞˋ	萬代
ㄨㄢˋㄉㄢˉ	萬丹
ㄨㄢˋㄋㄢˊ	萬難
ㄨㄢˋㄋㄥˊ	萬能
ㄨㄢˋㄌㄧˇ	萬里
ㄨㄢˋㄌㄧˋ	萬曆
ㄨㄢˋㄎㄜˉ	萬科
ㄨㄢˋㄏㄠˊ	萬豪
ㄨㄢˋㄏㄨˋ	萬戶
ㄨㄢˋㄐㄧˊ	腕級
ㄨㄢˋㄓㄡˉ	萬州
ㄨㄢˋㄓㄤˋ	萬丈
ㄨㄢˋㄕㄢˉ	萬山
ㄨㄢˋㄖㄣˊ	萬人
ㄨㄢˋㄗㄞˋ	萬載
ㄨㄢˋㄗㄨˊ	腕足
ㄨㄢˋㄧㄡˇ	萬有
ㄨㄢˋㄨㄟˋ	萬位
ㄨㄢˋㄨㄢˋ	萬萬
ㄨㄢˋㄩㄢˊ	萬源
ㄨㄢㄅㄛㄕㄥ	萬博省
ㄨㄢㄅㄠㄌㄨ	萬寶路
ㄨㄢㄅㄨㄑㄧ	玩不起
ㄨㄢㄉㄞㄌㄢ	萬代蘭
ㄨㄢㄉㄡㄓㄡ	豌豆粥
ㄨㄢㄋㄚㄉㄨ	萬那杜
ㄨㄢㄋㄥㄍㄥ	萬能㹴
ㄨㄢㄋㄧㄥㄕ	萬寧市
ㄨㄢㄌㄧㄈㄨ	晚禮服
ㄨㄢㄏㄨㄏㄡ	萬戶侯
ㄨㄢㄐㄧㄅㄣ	烷基苯
ㄨㄢㄐㄩㄔㄤ	玩具廠
ㄨㄢㄑㄩㄉㄨ	彎曲度
ㄨㄢㄒㄧㄢㄕ	萬縣市
ㄨㄢㄓㄡㄑㄩ	萬州區
ㄨㄢㄔㄥㄑㄩ	宛城區
ㄨㄢㄕㄊㄨㄥ	萬事通
ㄨㄢㄕㄖㄨㄧ	萬事如意
ㄨㄢㄕㄗㄨㄥ	玩失蹤
ㄨㄢㄕㄡㄐㄩ	萬壽菊
ㄨㄢㄕㄡㄕㄢ	萬壽山
ㄨㄢㄕㄡㄨㄢ	玩手腕
ㄨㄢㄕㄢㄑㄩ	萬山區
ㄨㄢㄕㄤㄏㄠ	晚上好
ㄨㄢㄕㄥㄧㄝ	萬聖夜
ㄨㄢㄖㄆㄧㄠ	玩兒票
ㄨㄢㄖㄇㄧㄥ	玩兒命
ㄨㄢㄖㄏㄨㄞ	玩兒壞
ㄨㄢㄖㄣㄉㄧ	萬人敵
ㄨㄢㄙㄅㄨㄘ	萬死不辭
ㄨㄢㄜㄓㄩㄢ	萬惡之源
ㄨㄢㄢㄒㄧㄢ	萬安縣
ㄨㄢㄧㄣㄉㄜ	玩陰的
ㄨㄢㄧㄤㄐㄧ	烷氧基
ㄨㄢㄧㄤㄕㄢ	萬洋山
ㄨㄢㄨㄙㄤㄓ	玩物喪志
ㄨㄢㄨㄟㄨㄤ	萬維網
ㄨㄢㄩㄢㄏㄨ	萬元戶
ㄨㄣˇㄅㄨˋ	穩步 吻部
ㄨㄣˇㄆㄛˊ	穩婆
ㄨㄣˇㄉㄤ˙	穩當
ㄨㄣˇㄊㄞˋ	穩態
ㄨㄣˇㄋㄚˊ	穩拿
ㄨㄣˇㄍㄨˋ	穩固
ㄨㄣˇㄏㄜˊ	吻合
ㄨㄣˇㄏㄡˋ	穩厚
ㄨㄣˇㄏㄣˊ	吻痕
ㄨㄣˇㄏㄥˊ	穩恆
ㄨㄣˇㄐㄧˋ	吻技
ㄨㄣˇㄒㄧˋ	吻戲
ㄨㄣˇㄕㄥˋ	穩勝
ㄨㄣˇㄧㄚˉ	穩壓
ㄨㄣˉㄅㄠˇ	溫飽
ㄨㄣˉㄆㄛ˙	榲桲
ㄨㄣˉㄉㄞˋ	溫帶
ㄨㄣˉㄉㄨˋ	溫度
ㄨㄣˉㄌㄧˇ	溫理
ㄨㄣˉㄏㄜˊ	溫和
ㄨㄣˉㄏㄡˋ	溫厚
ㄨㄣˉㄏㄨ˙	溫乎
ㄨㄣˉㄐㄩˉ	溫居
ㄨㄣˉㄒㄧˊ	溫習
ㄨㄣˉㄒㄩˋ	溫煦
ㄨㄣˉㄓㄡˉ	溫州
ㄨㄣˉㄔㄚˉ	溫差
ㄨㄣˉㄔㄜˉ	轀車
ㄨㄣˉㄕㄣˊ	瘟神
ㄨㄣˉㄕㄨˉ	溫書
ㄨㄣˉㄖㄜˋ	溫熱
ㄨㄣˉㄖㄡˊ	溫柔
ㄨㄣˉㄙㄨˋ	溫宿
ㄨㄣˉㄧㄚˇ	溫雅
ㄨㄣˉㄧㄚˉ	溫壓
ㄨㄣˉㄨㄢˇ	溫婉
ㄨㄣˉㄨㄣˉ	溫溫
ㄨㄣˉㄨㄣˊ	溫文
ㄨㄣˉㄨㄤˇ	溫網
ㄨㄣˊㄅㄣˇ	文本
ㄨㄣˊㄅㄧˇ	文筆
ㄨㄣˊㄅㄨˋ	文部
ㄨㄣˊㄇㄛˋ	文墨
ㄨㄣˊㄇㄤˊ	文盲
ㄨㄣˊㄇㄧˋ	文秘
ㄨㄣˊㄈㄚˇ	文法
ㄨㄣˊㄈㄥˉ	文風 文峰
ㄨㄣˊㄉㄚˊ	聞達
ㄨㄣˊㄉㄠˋ	聞到
ㄨㄣˊㄉㄢˋ	文旦
ㄨㄣˊㄉㄤˋ	文檔
ㄨㄣˊㄉㄥˉ	文登
ㄨㄣˊㄉㄨˊ	文牘 文讀
ㄨㄣˊㄊㄢˊ	文壇
ㄨㄣˊㄊㄧˇ	文體
ㄨㄣˊㄌㄞˊ	文萊
ㄨㄣˊㄌㄧˇ	紋理 文理
ㄨㄣˊㄌㄨˋ	紋路
ㄨㄣˊㄌㄩˇ	文旅 紋縷
ㄨㄣˊㄍㄜˊ	文革 文蛤
ㄨㄣˊㄍㄠˇ	文稿
ㄨㄣˊㄍㄠˋ	文告
ㄨㄣˊㄎㄜˉ	文科
ㄨㄣˊㄎㄤˉ	文康
ㄨㄣˊㄎㄨˋ	文庫
ㄨㄣˊㄏㄠˊ	文豪
ㄨㄣˊㄏㄠˋ	文號
ㄨㄣˊㄐㄧˊ	文集
ㄨㄣˊㄐㄩˋ	文具
ㄨㄣˊㄑㄧˋ	文氣
ㄨㄣˊㄒㄧˇ	聞喜
ㄨㄣˊㄒㄧˉ	聞悉
ㄨㄣˊㄒㄧˋ	文戲
ㄨㄣˊㄓㄞˉ	文摘
ㄨㄣˊㄓㄣˇ	聞診
ㄨㄣˊㄓㄤˉ	文章 紋章
ㄨㄣˊㄓㄤˋ	蚊帳
ㄨㄣˊㄓㄨˊ	文竹
ㄨㄣˊㄔㄣˊ	文臣
ㄨㄣˊㄔㄤˉ	文昌
ㄨㄣˊㄔㄥˊ	文成
ㄨㄣˊㄔㄨˉ	聞出
ㄨㄣˊㄕㄢˉ	文山
ㄨㄣˊㄕㄣˉ	紋身 文身
ㄨㄣˊㄕㄥˋ	文聖
ㄨㄣˊㄕㄨˉ	文書 文殊
ㄨㄣˊㄖㄣˊ	文人 聞人
ㄨㄣˊㄘㄞˇ	文采
ㄨㄣˊㄘㄥˊ	紋層
ㄨㄣˊㄧㄚˇ	文雅
ㄨㄣˊㄧㄢˊ	文言 聞言
ㄨㄣˊㄧㄣˊ	紋銀
ㄨㄣˊㄩㄝˉ	文約
ㄨㄣˊㄩㄢˊ	文員
ㄨㄣˊㄩㄢˋ	文苑
ㄨㄣˋㄉㄚˊ	問答
ㄨㄣˋㄉㄠˇ	問倒
ㄨㄣˋㄉㄠˋ	問道
ㄨㄣˋㄊㄧˊ	問題
ㄨㄣˋㄌㄞˊ	汶萊
ㄨㄣˋㄌㄨˋ	問路
ㄨㄣˋㄏㄠˇ	問好
ㄨㄣˋㄏㄠˋ	問號
ㄨㄣˋㄏㄡˋ	問候
ㄨㄣˋㄓㄣˇ	問診
ㄨㄣˋㄓㄨˋ	問住
ㄨㄣˋㄕㄤˋ	汶上
ㄨㄣˋㄗㄜˊ	問責
ㄨㄣㄅㄨㄕㄥ	文部省
ㄨㄣㄈㄥㄑㄩ	文峰區
ㄨㄣㄉㄥㄑㄩ	文登區
ㄨㄣㄉㄨㄐㄧ	溫度計
ㄨㄣㄊㄧㄖㄡ	溫體肉
ㄨㄣㄋㄧㄅㄛ	溫尼伯
ㄨㄣㄌㄧㄥㄕ	溫嶺市
ㄨㄣㄌㄩㄅㄨ	文旅部
ㄨㄣㄏㄜㄆㄞ	溫和派
ㄨㄣㄏㄡㄅㄟ	紋喉鵯
ㄨㄣㄏㄥㄊㄞ	穩恆態
ㄨㄣㄏㄨㄚㄕ	文化史
ㄨㄣㄐㄩㄕㄤ	文具商
ㄨㄣㄒㄩㄝㄕ	文學史 文學士
ㄨㄣㄓㄡㄓㄡ	文縐縐 文謅謅
ㄨㄣㄕㄢㄑㄩ	文山區
ㄨㄣㄕㄢㄓㄡ	文山州
ㄨㄣㄕㄤㄑㄩ	聞上去
ㄨㄣㄕㄥㄑㄩ	文聖區
ㄨㄣㄗㄍㄨㄢ	蚊子館
ㄨㄣㄗㄒㄩㄝ	文字學
ㄨㄣㄗㄞㄧㄣ	文在寅
ㄨㄣㄙㄉㄨㄣ	溫斯頓
ㄨㄣㄢㄒㄧㄢ	文安縣
ㄨㄣㄧㄅㄧㄥ	文藝兵
ㄨㄣㄧㄉㄨㄛ	聞一多
ㄨㄣㄧㄢㄨㄣ	文言文
ㄨㄣㄨㄏㄜㄧ	文武合一
ㄨㄣㄨㄐㄧㄥ	文物徑
ㄨㄣㄩㄝㄘㄥ	溫躍層
ㄨㄤˇㄅㄚˉ	網吧
ㄨㄤˇㄅㄠˋ	網暴
ㄨㄤˇㄅㄢˇ	網版
ㄨㄤˇㄅㄨˋ	網布
ㄨㄤˇㄆㄢˊ	網盤
ㄨㄤˇㄇㄛˊ	網膜 網模
ㄨㄤˇㄇㄨˋ	網目
ㄨㄤˇㄈㄚˇ	枉法
ㄨㄤˇㄈㄟˉ	網飛
ㄨㄤˇㄈㄟˋ	枉費
ㄨㄤˇㄈㄢˇ	往返
ㄨㄤˇㄈㄨˋ	往復
ㄨㄤˇㄉㄞˋ	網袋 網貸
ㄨㄤˇㄊㄜˋ	網特
ㄨㄤˇㄌㄞˊ	往來
ㄨㄤˇㄌㄠˊ	枉勞
ㄨㄤˇㄌㄧˋ	往例
ㄨㄤˇㄌㄨˋ	網路
ㄨㄤˇㄍㄜˊ	網格
ㄨㄤˇㄍㄡˋ	網購
ㄨㄤˇㄍㄨˇ	往古 網罟
ㄨㄤˇㄍㄨˋ	罔顧 枉顧
ㄨㄤˇㄎㄚˇ	網卡
ㄨㄤˇㄎㄚˉ	網咖
ㄨㄤˇㄎㄜˋ	網課
ㄨㄤˇㄏㄡˋ	往後
ㄨㄤˇㄐㄧˋ	往跡 網際
ㄨㄤˇㄐㄩˋ	網劇
ㄨㄤˇㄒㄧˉ	往昔
ㄨㄤˇㄓㄢˋ	網站
ㄨㄤˇㄔㄤˊ	往常
ㄨㄤˇㄔㄥˊ	往程
ㄨㄤˇㄔㄨˉ	往初
ㄨㄤˇㄕㄠˊ	網杓
ㄨㄤˇㄕㄡˋ	網售
ㄨㄤˇㄕㄤˋ	網上
ㄨㄤˇㄕㄥˉ	往生
ㄨㄤˇㄖㄢˊ	枉然 惘然
ㄨㄤˇㄖㄤˇ	枉攘
ㄨㄤˇㄙㄨˋ	網速
ㄨㄤˇㄧㄝˋ	網頁
ㄨㄤˇㄧㄡˇ	網友
ㄨㄤˇㄧㄡˊ	網遊
ㄨㄤˇㄧㄢˇ	網眼
ㄨㄤˇㄧㄣˇ	網癮
ㄨㄤˇㄧㄣˊ	網銀
ㄨㄤˇㄨㄚˋ	網襪
ㄨㄤˇㄨㄞˋ	往外
ㄨㄤˇㄨㄣˊ	網文
ㄨㄤˇㄨㄤˇ	往往
ㄨㄤˉㄧㄤˊ	汪洋
ㄨㄤˉㄨㄤˉ	汪汪
ㄨㄤˊㄅㄚˉ	亡八
ㄨㄤˊㄅㄚ˙	王八
ㄨㄤˊㄅㄛˊ	王勃
ㄨㄤˊㄅㄧˋ	王弼
ㄨㄤˊㄆㄞˊ	王牌
ㄨㄤˊㄆㄧˉ	王伾
ㄨㄤˊㄇㄚˇ	王碼
ㄨㄤˊㄇㄤˇ	王莽
ㄨㄤˊㄇㄥˇ	王猛
ㄨㄤˊㄇㄨˇ	王母 亡母
ㄨㄤˊㄈㄚˇ	王法
ㄨㄤˊㄈㄟˉ	王妃 王菲
ㄨㄤˊㄈㄨˇ	王府
ㄨㄤˊㄉㄠˇ	王導
ㄨㄤˊㄉㄠˋ	王道
ㄨㄤˊㄉㄢˉ	王丹
ㄨㄤˊㄋㄢˊ	王楠
ㄨㄤˊㄌㄧˋ	王力
ㄨㄤˊㄍㄨˋ	亡故
ㄨㄤˊㄏㄡˊ	王侯
ㄨㄤˊㄏㄡˋ	王后
ㄨㄤˊㄑㄧˉ	亡妻
ㄨㄤˊㄓㄚˋ	王炸
ㄨㄤˊㄓㄜˇ	亡者 王者
ㄨㄤˊㄓㄣˋ	王震
ㄨㄤˊㄓㄨˋ	王著
ㄨㄤˊㄔㄠˊ	王朝
ㄨㄤˊㄔㄨˇ	王儲
ㄨㄤˊㄘㄢˋ	王粲
ㄨㄤˊㄙㄨˋ	王肅
ㄨㄤˊㄧㄝ˙	王爺
ㄨㄤˊㄧㄥˇ	王穎
ㄨㄤˊㄧㄥˉ	王英
ㄨㄤˊㄨㄟˊ	王維
ㄨㄤˊㄨㄟˋ	王位
ㄨㄤˋㄅㄚˉ	忘八
ㄨㄤˋㄅㄣˇ	忘本
ㄨㄤˋㄇㄛˊ	望謨
ㄨㄤˋㄈㄥˉ	望風
ㄨㄤˋㄉㄨˉ	望都
ㄨㄤˋㄊㄨˊ	妄圖
ㄨㄤˋㄌㄞˊ	旺來
ㄨㄤˋㄌㄡˊ	望樓
ㄨㄤˋㄐㄧˉ	忘機
ㄨㄤˋㄐㄧˋ	忘記 旺季
ㄨㄤˋㄑㄩˇ	妄取
ㄨㄤˋㄓㄣˇ	望診
ㄨㄤˋㄔㄥˉ	妄稱
ㄨㄤˋㄔㄥˊ	望城
ㄨㄤˋㄕㄥˋ	旺盛
ㄨㄤˋㄖㄣˊ	妄人
ㄨㄤˋㄗㄨˊ	望族
ㄨㄤˋㄘㄢˉ	忘餐
ㄨㄤˋㄘㄤˉ	旺蒼
ㄨㄤˋㄧㄢˊ	妄言
ㄨㄤˋㄧㄤˊ	望洋
ㄨㄤˋㄨㄛˇ	忘我
ㄨㄤˋㄨㄟˊ	妄為
ㄨㄤˋㄩㄝˋ	望月 旺月
ㄨㄤㄅㄚㄉㄢ	王八蛋 忘八旦 忘八蛋
ㄨㄤㄈㄨㄐㄩ	往復鋸
ㄨㄤㄉㄠㄏㄢ	汪道涵
ㄨㄤㄊㄞㄏㄡ	王太后
ㄨㄤㄌㄠㄐㄧ	王老吉
ㄨㄤㄍㄜㄩㄢ	網格員
ㄨㄤㄐㄧㄚㄦ	王嘉爾
ㄨㄤㄑㄧㄕㄢ	王岐山
ㄨㄤㄒㄧㄇㄥ	王希孟
ㄨㄤㄒㄧㄢㄓ	王仙芝
ㄨㄤㄔㄒㄧㄥ	旺熾型 旺熾性
ㄨㄤㄔㄥㄑㄩ	望城區
ㄨㄤㄕㄔㄨㄥ	王世充
ㄨㄤㄕㄨㄨㄣ	王叔文
ㄨㄤㄢㄒㄧㄤ	望安鄉
ㄨㄤㄣㄈㄨㄧ	忘恩負義
ㄨㄤㄧㄡㄘㄠ	忘憂草
ㄨㄤㄩㄝㄔㄜ	網約車
ㄨㄥˇㄅㄥˇ	塕埲
ㄨㄥˇㄇㄥˊ	暡曚 瞈矇
ㄨㄥˇㄘㄞˋ	蓊菜
ㄨㄥˉㄍㄨˉ	翁姑
ㄨㄥˉㄒㄩˋ	翁婿
ㄨㄥˉㄕㄢˉ	翁山
ㄨㄥˉㄨㄥˉ	嗡嗡
ㄨㄥˉㄩㄢˊ	翁源
ㄨㄥˋㄔㄥˊ	甕城
ㄨㄥˋㄘㄞˋ	甕菜 蕹菜
ㄨㄥㄢㄒㄧㄢ	甕安縣 翁安縣
ㄨㄥㄨㄥㄉㄢ	嗡嗡彈
ㄨㄥㄨㄥㄕㄥ	嗡嗡聲
ㄨㄦㄍㄣㄑㄧ	烏爾根奇
ㄨㄦㄎㄞㄒㄧ	吾爾開希
ㄨㄦㄏㄜㄑㄩ	烏爾禾區
ㄨㄧㄌㄟㄐㄩ	物以類聚
ㄨㄧㄚㄗㄨㄛ	烏鴉座
ㄨㄧㄚㄗㄨㄟ	烏鴉嘴
ㄨㄧㄝㄕㄨㄟ	物業稅
ㄨㄧㄝㄙㄨㄥ	五葉松
ㄨㄧㄡㄨㄌㄩ	無憂無慮
ㄨㄧㄤㄒㄧㄢ	舞陽縣
ㄨㄧㄤㄨㄧㄤ	烏泱烏泱
ㄨㄧㄨㄟㄅㄠ	無以為報
ㄨㄧㄨㄟㄕㄥ	無以為生
ㄨㄨㄗㄨㄌㄚ	嗚嗚祖拉
ㄨㄨㄟㄅㄨㄓ	無微不至
ㄨㄨㄟㄒㄩㄥ	無尾熊
ㄨㄩㄕㄐㄧㄝ	物慾世界
ㄨㄩㄝㄐㄧㄝ	五月節
ㄨㄩㄢㄒㄧㄢ	五原縣 婺源縣
ㄨㄩㄢㄨㄍㄨ	無緣無故
ㄨㄩㄥㄓㄕㄨ	無用之樹
